id,bf,proper,ra,dec,dist,mag,absmag,spect,ci,bayer,flam,con
22496,3Pi 4Ori,NA,4.853434,5.605104,322.5806,3.68,-3.863,B2III SB,-0.157,Pi-4,3,Ori
22512,97    Tau,NA,4.856239,18.839861,51.2558,5.08,1.531,A7IV-V,0.214,NA,97,Tau
22520,NA,NA,4.857837,-34.906286,82.1693,5.82,1.246,A2/A3V,0.105,NA,NA,Cae
22573,NA,NA,4.868109,63.505421,152.9052,5.47,-0.452,M2III,1.559,NA,NA,Cam
22614,4Omi1Ori,NA,4.875545,14.250642,199.6008,4.71,-1.791,M3Sv,1.773,Omi-1,4,Ori
22626,2    Aur,NA,4.877218,36.703187,184.5018,4.79,-1.54,K3III,1.414,NA,2,Aur
22644,NA,NA,4.879754,27.897485,106.383,5.97,0.836,F2IV,0.368,NA,NA,Tau
22646,NA,NA,4.879933,42.586626,138.8889,5.68,-0.033,A3III,0.115,NA,NA,Aur
22648,61Ome Eri,NA,4.881575,-5.452695,72.0461,4.36,0.072,A9IV,0.257,Ome,61,Eri
22677,5    Ori,NA,4.889659,2.508225,181.1594,5.33,-0.96,M1III,1.632,NA,5,Ori
22730,9Alp Cam,NA,4.900836,66.342678,100000,4.26,-15.74,O9.5Ia SB:,-0.008,Alp,9,Cam
22744,8Pi 5Ori,NA,4.904193,2.440672,411.5226,3.71,-4.362,B2III SB,-0.179,Pi-5,8,Ori
22780,6    Ori,NA,4.913027,11.426006,69.979,5.18,0.955,A3V,0.121,NA,6,Ori
22781,NA,NA,4.913273,7.779097,147.7105,5.33,-0.517,K1III,1.214,NA,NA,Ori
22787,NA,NA,4.914086,0.467167,222.2222,5.98,-0.754,B5V,-0.116,NA,NA,Ori
22792,7Pi 1Ori,NA,4.914924,10.150833,35.6633,4.64,1.879,A0V,0.085,Pi-1,7,Ori
22801,5    Cam,NA,4.917537,55.259109,190.1141,5.52,-0.875,B9.5V,0.015,NA,5,Cam
22808,NA,NA,4.918562,-16.74067,145.1379,5.71,-0.099,G8/K0III,0.953,NA,NA,Eri
22818,Eta Men,NA,4.919765,-74.936852,204.918,5.47,-1.088,K6III,1.518,Eta,NA,Men
22828,NA,NA,4.921847,-16.417767,85.3242,5.71,1.055,G6/G8III,0.874,NA,NA,Eri
22860,NA,NA,4.930598,15.040278,111.4827,5.79,0.554,B9V,-0.085,NA,NA,Ori
22883,NA,NA,4.935299,52.869761,129.7017,5.75,0.185,A2Vs,0.105,NA,NA,Cam
22904,9Omi2Ori,NA,4.939521,13.514466,57.0125,4.06,0.28,K2III,1.158,Omi-2,9,Ori
22905,62    Eri,NA,4.940052,-5.171356,227.2727,5.5,-1.283,B6V,-0.123,NA,62,Eri
22961,3Iot Aur,Hassaleh,4.949894,33.16609,151.2859,2.69,-3.209,K3IIvar,1.49,Iot,3,Aur
22987,7    Cam,NA,4.95478,53.752101,114.0251,4.43,-0.855,A1V,-0.017,NA,7,Cam
22989,NA,NA,4.956206,17.153677,146.1988,5.51,-0.315,K1III,1.304,NA,NA,Tau
23014,99    Tau,NA,4.963513,23.948562,139.6648,5.79,0.065,G8III:,1.109,NA,99,Tau
23034,98    Tau,NA,4.969275,25.050405,87.184,5.79,1.088,A0V,0.018,NA,98,Tau
23069,10Pi 6Ori,NA,4.975806,1.714016,289.8551,4.47,-2.841,K2IIvar,1.369,Pi-6,10,Ori
23094,Xi  Men,NA,4.980829,-82.470512,113.1222,5.84,0.572,G8III,0.932,Xi,NA,Men
23112,NA,NA,4.983713,-16.376027,40.4694,5.65,2.614,F5V,0.447,NA,NA,Lep
23125,4Ome Aur,NA,4.987612,37.890245,52.2739,4.93,1.339,A1V,0.037,Ome,4,Aur
23167,63    Eri,NA,4.997348,-10.263325,53.9665,5.39,1.729,G4V,0.797,NA,63,Eri
23177,64    Eri,NA,4.998816,-12.537416,88.968,4.78,0.034,F0V,0.267,NA,64,Eri
23207,5    Aur,NA,5.005095,39.394701,59.7372,5.95,2.069,F5V,0.415,NA,5,Aur
23211,NA,NA,5.005755,81.194088,117.7856,5.09,-0.265,K3III,1.304,NA,NA,Cep
23307,NA,NA,5.023772,-20.051918,60.6796,4.91,0.995,B9V,-0.047,NA,NA,Lep
23309,65Psi Eri,NA,5.023985,-7.173965,226.7574,4.8,-1.978,B3V,-0.164,Psi,65,Eri
23353,NA,NA,5.030654,0.722112,145.1379,5.91,0.101,K0,1.267,NA,NA,Ori
23361,7Eps Aur,NA,5.032815,43.823308,653.5948,3.03,-6.047,F0Ia,0.537,Eps,7,Aur
23375,NA,NA,5.03606,-26.275029,71.4796,5.01,0.739,K1III,1.056,NA,NA,Lep
23391,NA,NA,5.039668,-31.771333,95.511,5.92,1.02,K2III,1.17,NA,NA,Cae
23398,8Zet Aur,NA,5.041301,41.075837,240.9639,3.69,-3.22,K4II comp,1.154,Zet,8,Aur
23412,Bet Men,NA,5.045279,-71.3143,243.309,5.3,-1.631,G8III,0.996,Bet,NA,Men
23419,1    Lep,NA,5.045828,-22.795052,143.472,5.74,-0.044,K1IV,1.188,NA,1,Lep
23420,NA,NA,5.045943,-4.210121,91.9118,5.86,1.043,K3,1.212,NA,NA,Eri
23428,Eta1Pic,NA,5.046861,-49.151407,26.0756,5.37,3.289,F2V,0.421,Eta-1,NA,Pic
23442,102Iot Tau,NA,5.051596,21.589962,52.9661,4.62,1,A7V,0.155,Iot,102,Tau
23467,10Bet Cam,NA,5.05697,60.442245,267.3797,4.03,-3.106,G0Ib,0.921,Bet,10,Cam
23499,NA,NA,5.064797,-24.388151,58.1734,5.61,1.786,A2IV,0.094,NA,NA,Lep
23540,Gam1Cae,NA,5.07344,-35.482978,55.5864,4.55,0.825,K2III,1.177,Gam-1,NA,Cae
23552,11    Ori,NA,5.076153,15.404105,111.9821,4.65,-0.596,A0p Si,-0.064,NA,11,Ori
23594,Eta2Pic,NA,5.082776,-49.577837,136.0544,5.05,-0.619,M2IIIvar,1.484,Eta-2,NA,Pic
23613,NA,NA,5.087832,-26.152391,76.2195,5.71,1.3,K2III,1.166,NA,NA,Lep
23630,2Eps Lep,NA,5.091018,-22.371032,65.4022,3.19,-0.888,K4III,1.46,Eps,2,Lep
23638,Zet Dor,NA,5.091853,-57.472704,11.6455,4.71,4.379,F7V,0.526,Zet,NA,Dor
23679,11    Cam,NA,5.102349,58.972372,210.084,5.22,-1.392,B2.5Ve,-0.08,NA,11,Cam
23712,10Eta Aur,NA,5.10858,41.234474,74.6269,3.18,-1.184,B3V,-0.148,Eta,10,Aur
23728,9    Aur,NA,5.111289,51.59772,26.2881,4.98,2.881,F0V,0.343,NA,9,Aur
23739,66    Eri,NA,5.112681,-4.655163,94.697,5.12,0.238,B9.5V,-0.059,NA,66,Eri
23776,NA,NA,5.1236,-12.491269,36.6972,5.97,3.147,G2V,0.606,NA,NA,Lep
23780,104    Tau,NA,5.124164,18.645052,15.4345,4.91,3.968,G4V,0.657,NA,104,Tau
23785,NA,NA,5.126116,-63.399679,173.3102,5.19,-1.004,M3III,1.646,NA,NA,Dor
23816,106    Tau,NA,5.130111,20.418379,58.1058,5.28,1.459,A5V,0.118,NA,106,Tau
23820,67Bet Eri,Cursa,5.130829,-5.086446,27.3973,2.78,0.591,A3IIIvar,0.161,Bet,67,Eri
23824,14    Ori,NA,5.131359,8.498429,64.6412,5.33,1.277,Am,0.338,NA,14,Ori
23828,105    Tau,NA,5.132066,21.704821,331.1258,5.84,-1.76,B2Ve,0.168,NA,105,Tau
23845,103    Tau,NA,5.135173,24.265175,458.7156,5.5,-2.808,B2V...,0.03,NA,103,Tau
23861,NA,NA,5.138942,-8.665324,208.7683,5.8,-0.798,B8V,-0.059,NA,NA,Eri
23886,68    Eri,NA,5.145472,-4.456207,25.4582,5.11,3.081,F2V,0.455,NA,68,Eri
23917,69Lam Eri,NA,5.15244,-8.754081,248.7562,4.25,-2.729,B2IVn,-0.187,Lam,69,Eri
23928,16    Ori,NA,5.155456,9.829579,54.7046,5.43,1.74,A2m,0.249,NA,16,Ori
23955,15    Ori,NA,5.161654,15.597232,165.0165,4.81,-1.278,F2IV,0.313,NA,15,Ori
23964,NA,NA,5.162524,28.030461,52.6039,5.93,2.325,A5m,0.311,NA,NA,Tau
24052,NA,NA,5.178585,46.96207,48.6855,5.67,2.233,F5V,0.452,NA,NA,Aur
24105,NA,NA,5.18866,-2.490782,37.6223,5.89,3.013,F5V,0.462,NA,NA,Ori
24112,NA,NA,5.189686,-11.849089,149.0313,5.6,-0.266,M6.2III,1.35,NA,NA,Lep
24140,NA,NA,5.194879,16.045673,105.2632,5.18,0.069,K5III,1.525,NA,NA,Ori
24146,NA,NA,5.195931,1.037028,195.3125,5.88,-0.574,F5,0.662,NA,NA,Ori
24187,3Iot Lep,NA,5.204973,-11.869219,71.0732,4.45,0.191,B8V,-0.099,Iot,3,Lep
24197,NA,NA,5.206237,73.946674,115.8749,5.44,0.12,B9p Si,-0.108,NA,NA,Cam
24237,NA,NA,5.213369,-6.05719,143.8849,5.9,0.11,G7III,0.96,NA,NA,Ori
24249,5Mu  Lep,NA,5.215528,-16.205468,57.0125,3.29,-0.49,B9IV: HgMn,-0.11,Mu,5,Lep
24270,4Kap Lep,NA,5.220522,-12.941291,223.2143,4.36,-2.384,B7V,-0.094,Kap,4,Lep
24274,17Rho Ori,NA,5.221523,2.861265,107.2961,4.46,-0.693,K3III...,1.166,Rho,17,Ori
24283,11Mu  Aur,NA,5.223811,38.484498,46.9043,4.82,1.464,A4m,0.189,Mu,11,Aur
24314,The Dor,NA,5.229288,-67.185255,150.6024,4.81,-1.079,K2III,1.274,The,NA,Dor
24368,NA,NA,5.241346,-35.976996,152.439,5.75,-0.165,G8III,1.009,NA,NA,Col
24378,19Bet Ori,Rigel,5.242298,-8.20164,264.5503,0.18,-6.933,B8Ia,-0.03,Bet,19,Ori
24392,NA,NA,5.245569,5.156151,149.0313,5.5,-0.366,K4III,1.369,NA,NA,Ori
24446,NA,NA,5.25677,-26.943509,85.2515,5.06,0.406,B9V,-0.067,NA,NA,Lep
24448,14    Aur,NA,5.256777,32.6876,87.5657,5.01,0.298,A9IV,0.222,NA,14,Aur
24496,18    Ori,NA,5.267815,11.341354,135.8696,5.52,-0.146,A0V,-0.012,NA,18,Ori
24516,NA,NA,5.271708,34.312317,574.7126,5.99,-2.807,O9.5Vvar,0.199,NA,NA,Aur
24549,13Alp Aur,Capella,5.27815,45.997991,13.1234,0.08,-0.51,M1: comp,0.795,Alp,13,Aur
24599,Omi Col,NA,5.291411,-34.895207,32.4465,4.81,2.254,K0/K1III/IV,0.987,Omi,NA,Col
24614,20Tau Ori,NA,5.293442,-6.844409,151.5152,3.59,-2.312,B5III,-0.115,Tau,20,Ori
24619,NA,NA,5.294512,-13.519826,49.0196,5.48,2.028,G8IV,0.932,NA,NA,Lep
24667,16    Aur,NA,5.302935,33.371613,71.2251,4.54,0.277,K3III...,1.252,NA,16,Aur
24672,NA,NA,5.30368,73.268071,111.2347,5.81,0.579,A0V,-0.023,NA,NA,Cam
24678,NA,NA,5.304359,42.792111,172.7116,5.55,-0.637,M4III,1.492,NA,NA,Aur
24726,NA,NA,5.314017,-18.13005,25.025,5.96,3.968,G0V,0.572,NA,NA,Lep
24739,NA,NA,5.316674,33.748394,126.7427,5.38,-0.135,A0p...,-0.167,NA,NA,Aur
24753,15Lam Aur,NA,5.318995,40.099051,12.631,4.69,4.183,G0V,0.63,Lam,15,Aur
24757,21    Ori,NA,5.319783,2.595806,61.9579,5.34,1.38,F5IIvar,0.412,NA,21,Ori
24762,109    Tau,NA,5.321278,22.096494,75.815,4.96,0.561,G8III,0.937,NA,109,Tau
24769,Zet Pic,NA,5.322813,-50.605967,35.7143,5.44,2.676,F7III-IV,0.517,Zet,NA,Pic
24771,NA,NA,5.323246,-27.368884,134.0483,5.98,0.344,A0V,-0.022,NA,NA,Col
24785,6Lam Lep,NA,5.326257,-13.176788,261.0966,4.29,-2.794,B0.5IV,-0.235,Lam,6,Lep
24813,7Nu  Lep,NA,5.333062,-12.315585,102.2495,5.29,0.242,B7/B8V,-0.104,Nu,7,Lep
24819,19    Aur,NA,5.333589,33.958054,636.9427,5.05,-3.971,A5IIvar,0.287,NA,19,Aur
24842,NA,NA,5.337409,41.086212,84.9618,5.46,0.814,A3V,0.122,NA,NA,Aur
24853,NA,NA,5.339615,62.653711,628.9308,5.64,-3.353,K4Iab:,1.728,NA,NA,Cam
24866,NA,NA,5.340811,-21.239763,127.551,4.7,-0.828,A0V,-0.048,NA,NA,Lep
24940,NA,NA,5.353524,29.569884,88.574,5.66,0.923,A1Vs,0.06,NA,NA,Aur
24967,NA,NA,5.358845,-0.416491,307.6923,5.68,-1.761,B3V,-0.125,NA,NA,Ori
24980,NA,NA,5.3621,8.428556,436.6812,5.78,-2.421,B1V...,-0.114,NA,NA,Ori
24983,22    Ori,NA,5.362708,-0.382465,284.9003,4.72,-2.553,B2IV-V,-0.168,NA,22,Ori
24984,NA,NA,5.362849,-24.772981,107.8749,5.06,-0.105,A2/A3,0.662,NA,NA,Lep
24987,20Rho Aur,NA,5.363448,41.804572,162.3377,5.22,-0.832,B5V,-0.129,Rho,20,Aur
25047,NA,NA,5.376036,79.231149,20.8855,5.08,3.481,F6V,0.506,NA,NA,Cam
25079,23    Ori,NA,5.380556,3.544452,476.1905,4.99,-3.399,B1V,-0.096,NA,23,Ori
25080,NA,NA,5.380644,41.02926,89.6861,5.54,0.776,A3V,0.127,NA,NA,Aur
25124,NA,NA,5.388475,-8.415595,122.6994,5.99,0.546,B8+...,-0.037,NA,NA,Ori
25131,NA,NA,5.390006,-39.678423,199.2032,5.73,-0.766,M2III,1.626,NA,NA,Col
25134,16    Cam,NA,5.391065,57.544395,103.0928,5.24,0.174,A0Vn,-0.011,NA,16,Cam
25139,8    Lep,NA,5.39171,-13.927352,505.0505,5.25,-3.267,B2IV,-0.219,NA,8,Lep
25160,NA,NA,5.395086,-0.159818,268.8172,5.69,-1.457,B1.5V,-0.208,NA,NA,Ori
25184,29    Ori,NA,5.399119,-7.808065,48.2393,4.13,0.713,G8III,0.943,NA,29,Ori
25215,111    Tau,NA,5.407071,17.383534,14.3864,5,4.21,F8V SB,0.544,NA,111,Tau
25217,NA,NA,5.407914,-16.975781,68.2594,5.64,1.469,A0V,-0.001,NA,NA,Lep
25218,28Eta Ori,NA,5.407949,-2.3971460000000002,299.4012,3.35,-4.031,B1V + B2,-0.24,Eta,28,Ori
25219,27    Ori,NA,5.40803,-0.891328,57.2082,5.07,1.283,K0III,0.961,NA,27,Ori
25228,NA,NA,5.4107,31.143148,211.4165,5.94,-0.686,B9III,0.034,NA,NA,Aur
25229,21Sig Aur,NA,5.410873,37.385346,143.2665,5.02,-0.761,K4III,1.445,Sig,21,Aur
25239,25Psi1Ori,NA,5.412452,1.846445,318.4713,4.89,-2.625,B1V:pe,-0.2,Psi-1,25,Ori
25266,NA,NA,5.417151,-10.328887,133.8688,5.6,-0.033,K5III,1.543,NA,NA,Ori
25273,24Gam Ori,Bellatrix,5.418851,6.349702,77.3994,1.64,-2.804,B2III,-0.224,Gam,24,Ori
25334,NA,NA,5.433285,-19.695399,45.0248,5.78,2.513,F5V,0.441,NA,NA,Lep
25364,112Bet Tau,Alnath,5.438198,28.60745,41.0509,1.65,-1.417,B7III,-0.13,Bet,112,Tau
25365,Lam Dor,NA,5.438687,-58.91252,140.4494,5.14,-0.598,G6III,0.986,Lam,NA,Dor
25407,NA,NA,5.44689,34.39181,645.1613,5.92,-3.128,A1p,0.138,NA,NA,Aur
25409,30Psi2Ori,NA,5.447286,3.095674,348.4321,4.59,-3.121,B2IV,-0.199,Psi-2,30,Ori
25424,NA,NA,5.451478,-40.94351,91.9118,5.86,1.043,A7m,0.239,NA,NA,Col
25428,NA,NA,5.452298,30.208603,440.5286,5.69,-2.53,B9Ib,0.175,NA,NA,Aur
25435,115    Tau,NA,5.452804,17.962216,168.3502,5.4,-0.731,B5V,-0.09,NA,115,Tau
25475,114    Tau,NA,5.460579,21.936965,191.5709,4.88,-1.532,B2.5IV,-0.14,NA,114,Tau
25477,24Phi Aur,NA,5.460802,34.475892,138.8889,5.08,-0.633,K4IIIp,1.4,Phi,24,Aur
25491,116    Tau,NA,5.462669,15.874052,130.039,5.52,-0.05,B9.5Vn,0.015,NA,116,Tau
25519,117    Tau,NA,5.467114,17.23913,187.9699,5.77,-0.6,M1III,1.634,NA,117,Tau
25542,9Bet Lep,Nihal,5.470756,-20.759441,49.1642,2.81,-0.648,G5II,0.807,Bet,9,Lep
25544,NA,NA,5.470926,-37.230767,87.7963,5.56,0.843,A0V,0.026,NA,NA,Col
25631,118    Tau,NA,5.487916,25.150215,130.3781,5.47,-0.106,B9Vn,-0.042,NA,118,Tau
25644,NA,NA,5.489913,-3.446394,151.0574,5.8,-0.096,K1III...,1.149,NA,NA,Ori
25673,31    Ori,NA,5.49555,-1.092239,155.7632,4.71,-1.252,K5III,1.592,NA,31,Ori
25687,NA,NA,5.498548,1.78926,438.5965,5.77,-2.44,B2V,-0.192,NA,NA,Ori
25704,NA,NA,5.502632,-47.077655,44.1306,5.46,2.236,G3IV,0.615,NA,NA,Pic
25705,17    Cam,NA,5.502835,63.06722,288.1844,5.43,-1.868,M1III,1.704,NA,17,Cam
25726,NA,NA,5.507268,15.360449,77.5795,5.93,1.481,A3Vn,0.103,NA,NA,Ori
25749,32    Ori,NA,5.51307,5.948139,92.8505,4.2,-0.639,B5V,-0.143,NA,32,Ori
25752,NA,NA,5.513514,41.461994,128.866,5.99,0.439,K0IIIp,1.112,NA,NA,Aur
25788,10    Lep,NA,5.518785,-20.863659,83.2639,5.53,0.928,A0V,0.012,NA,10,Lep
25794,Eps Col,NA,5.520209,-35.470519,80.7103,3.86,-0.675,K1II/III,1.13,Eps,NA,Col
25796,33    Ori,NA,5.520703,3.292133,348.4321,5.46,-2.251,B1.5V,-0.176,NA,33,Ori
25822,NA,NA,5.526666,-45.925317,168.0672,5.86,-0.267,K3III,1.349,NA,NA,Pic
25853,Gam Men,NA,5.531318,-76.340964,31.3578,5.18,2.698,K4III,1.13,Gam,NA,Men
